16	29	32	36	41		7	9
7	13	39	47	50		2	5
14	18	19	31	37		4	5
4	7	33	37	39		1	5
15	24	28	44	47		4	5
33	36	37	42	45		4	9
3	4	10	23	43		2	4
4	12	24	27	36		2	9
1	4	10	19	23		2	8
14	15	28	35	40		1	3
6	10	21	45	49		3	5
5	6	16	23	27		6	7
15	16	21	36	38		1	5
1	3	21	32	39		2	6
15	29	37	39	49		4	9
6	11	35	41	44		5	6
9	13	34	41	42		3	7
2	7	8	10	47		1	7
2	23	28	40	43		2	6
3	21	30	34	35		1	2
4	23	24	28	34		1	3
2	5	12	19	44		8	9
24	26	31	38	50		5	8
7	10	27	31	34		3	8
9	10	19	37	50		1	6
5	15	24	35	44		5	6
20	27	41	43	50		5	8
6	9	10	27	35		6	8
1	11	22	28	44		1	9
8	12	14	15	34		6	7
5	25	33	36	38		2	5
15	18	29	39	41		5	8
21	26	27	44	48		1	7
12	20	21	45	48		5	6
1	10	12	16	48		2	6
14	21	22	37	43		5	8
1	9	23	25	40		3	9
1	8	32	35	38		4	9
6	19	25	42	49		1	7
4	11	12	13	32		3	9
1	18	29	34	37		2	6
1	4	24	34	36		6	8
1	11	15	42	49		3	4
1	3	13	16	43		2	7
15	19	22	46	49		2	9
3	4	27	29	37		5	6
7	8	24	25	47		8	9
3	23	27	47	50		2	3
6	11	14	19	29		1	3
10	12	14	24	26		5	8
7	21	26	43	45		5	7
1	8	11	30	40		7	8
11	13	25	32	50		4	7
20	21	26	32	46		8	9
3	27	30	43	44		4	8
12	24	32	37	39		7	9
8	12	23	40	43		1	4
6	23	39	43	48		5	7
4	29	33	37	38		6	9
25	26	41	44	47		3	7
7	11	25	31	50		1	3
6	28	31	38	42		3	9
3	10	13	24	47		5	9
3	9	35	39	42		1	8
7	12	21	26	44		6	8
12	17	31	32	40		2	9
6	7	13	28	47		5	8
2	24	31	48	50		4	9
3	8	11	17	50		1	5
6	7	32	37	47		1	7
4	8	10	18	21		1	7
6	8	14	15	45		7	8
4	5	23	25	28		3	4
35	36	42	46	49		2	8
1	11	12	23	42		3	6
3	14	41	48	49		1	4
3	19	26	49	50		4	5
2	11	21	22	30		4	6
15	23	30	37	40		7	9
11	24	29	31	41		1	3
9	29	35	40	41		1	6
3	4	14	43	50		3	6
8	12	19	31	50		6	7
12	13	19	21	38		3	9
1	26	31	34	47		4	9
6	11	47	48	50		1	6
2	13	21	26	44		3	9
10	11	19	20	23		1	6
1	14	19	29	33		1	8
14	36	44	47	50		3	5
26	36	37	38	42		2	6
15	16	36	41	42		3	5
17	18	25	34	48		2	3
1	6	27	39	47		1	6
1	9	20	23	30		4	7
11	18	35	38	42		1	5
2	3	15	18	32		6	7
15	31	36	37	42		1	7
8	16	19	43	45		1	4
2	6	9	14	26		4	5
8	12	19	33	34		1	6
12	15	33	44	50		2	6
9	15	21	40	49		1	4
9	21	30	39	50		1	3
5	6	38	48	50		6	7
4	23	24	26	38		2	4
1	11	18	19	47		3	7
3	5	8	10	44		3	5
1	21	33	45	49		4	8
5	32	44	45	50		1	7
17	28	33	35	47		4	9
3	20	31	45	50		6	7
12	13	29	44	50		4	5
16	26	34	35	49		2	6
1	20	22	37	46		1	9
5	10	17	22	33		5	7
4	8	14	16	50		3	9
5	20	23	34	50		1	5
3	5	25	34	49		5	8
2	12	21	41	49		3	7
7	8	27	41	48		1	6
3	12	15	34	39		4	6
1	16	26	30	36		3	9
9	21	30	43	44		1	9
6	15	16	40	43		1	2
7	9	18	35	43		5	7
1	7	17	31	36		2	8
2	4	9	38	50		6	8
3	8	12	29	43		6	7
1	14	15	26	32		3	7
27	28	31	46	47		2	5
12	37	39	40	50		1	2
10	28	40	47	48		6	8
3	7	25	45	50		6	9
1	10	12	32	33		1	8
6	10	16	26	49		7	9
10	29	30	45	49		3	8
1	3	6	18	24		5	8
5	11	22	35	38		7	8
2	25	32	38	41		3	5
10	19	34	45	47		3	6
3	4	8	44	50		7	8
11	13	24	44	49		3	9
14	21	27	30	36		2	3
12	22	32	33	36		2	6
5	8	17	25	40		1	5
4	8	16	37	41		2	5
16	17	18	36	47		1	2
9	23	35	37	42		3	7
9	11	20	38	43		2	3
6	9	13	14	35		3	4
17	19	29	36	45		5	6
8	11	14	19	25		3	5
5	13	27	33	42		2	4
11	15	23	30	38		4	9
14	23	27	30	36		1	6
14	16	30	36	46		2	8
8	19	20	39	50		6	9
2	15	18	20	22		2	5
3	16	34	38	48		5	8
2	3	25	43	48		6	9
4	14	31	45	49		4	9
5	13	17	40	43		1	3
9	17	19	41	46		1	8
15	23	29	41	48		3	6
7	20	25	38	41		3	7
23	26	32	41	45		3	7
7	18	27	36	44		1	2
6	17	35	41	45		1	5
7	12	26	29	49		2	6
26	34	37	39	49		2	6
25	26	29	49	50		7	8
6	22	37	41	42		6	9
1	15	17	25	45		2	8
5	7	14	21	40		3	8
11	16	17	22	34		5	6
8	12	28	33	45		1	3
4	5	19	39	41		8	9
9	13	15	31	48		3	6
10	21	25	26	50		4	9
1	4	21	29	41		7	8
10	30	33	37	41		1	8
23	40	42	43	49		2	6
2	3	13	38	42		7	8
1	3	16	42	48		2	3
6	18	22	23	37		5	6
2	3	33	34	42		3	5
5	9	11	29	33		7	9
1	17	32	35	37		1	8
22	30	34	35	44		4	5
11	20	27	35	44		2	5
21	32	36	46	47		3	4
7	18	34	35	40		7	8
7	20	38	40	43		1	8
3	16	18	19	40		1	2
5	14	22	25	36		5	6
9	18	23	33	37		1	8
2	10	22	29	48		3	9
12	19	20	30	38		7	9
2	4	32	43	48		1	7
8	25	30	36	44		3	4
7	9	28	37	44		6	7
20	21	22	31	45		7	9
10	12	24	25	41		3	5
8	24	36	49	50		4	8
14	16	23	40	46		4	8
2	6	9	19	45		7	8
22	30	45	47	49		4	9
17	28	30	38	44		1	4
12	27	29	45	46		4	7
4	27	32	46	50		8	9
12	37	40	47	49		2	9
2	7	14	17	35		1	6
13	21	25	35	48		4	8
2	10	18	22	36		4	6
5	9	17	29	39		3	6
11	13	18	37	47		1	6
6	25	30	45	50		5	7
3	6	7	27	50		5	9
4	19	26	27	30		3	8
2	26	37	45	48		4	8
